"airport_name","perc_total_passengers"
"Abu Dhabi International Airport",93.98
"Adolfo Suárez Madrid–Barajas Airport",42.31
"Amsterdam Airport Schiphol",340.38
"Antalya Airport",NULL
"Barcelona–El Prat Airport",37.46
"Beijing Capital International Airport",58.93
"Brisbane International Airport",245.15
"Brussels Airport",265.27
"Cancún International Airport",24.23
"Changsha Huanghua International Airport",14.62
"Charles de Gaulle International Airport",31.89
"Charlotte Douglas International Airport",27.74
"Chengdu Shuangliu International Airport",30.64
"Chhatrapati Shivaji International Airport",263.5
"Chongqing Jiangbei International Airport",23.82
"Copenhagen Airport",88.17
"Dallas-Fort Worth International Airport",40.54
"Denver International Airport",37.09
"Detroit Metropolitan Wayne County Airport",20.97
"Don Mueang International Airport",95.95
"Dubai International Airport",349.03
"Dublin Airport",270.13
"Düsseldorf International Airport",62.28
"El Dorado International Airport",683.95
"Fort Lauderdale Hollywood International Airport",19.65
"Frankfurt am Main International Airport",163.03
"Fukuoka Airport",73.66
"Gatwick Airport",111.52
"George Bush Intercontinental Houston Airport",24.59
"Gimpo International Airport",NULL
"Guangzhou Baiyun International Airport",40.54
"Hamad International Airport",1678.79
"Haneda Airport",239.88
"Hangzhou Xiaoshan International Airport",21.88
"Hartsfield–Jackson Atlanta International Airport",62.79
"Heathrow Airport",190.95
"Hong Kong International Airport",NULL
"Incheon International Airport",NULL
"Indira Gandhi International Airport",354.2
"Istanbul Atatürk Airport",NULL
"Jeju International Airport",NULL
"John F. Kennedy International Airport",35.89
"Kansai International Airport",87.77
"Kempegowda International Airport",139.82
"King Abdulaziz International Airport",167.15
"King Khaled International Airport",123.39
"Kuala Lumpur International Airport",224.35
"Kunming Changshui International Airport",27.52
"LaGuardia Airport",18.0
"Leonardo da Vinci–Fiumicino Airport",42.94
"Lisbon Portela Airport",154.31
"Liuting Airport",14.28
"Logan International Airport",21.93
"London Stansted Airport",63.4
"Los Angeles International Airport",51.1
"Manchester Airport",68.29
"McCarran International Airport",29.35
"Melbourne Airport",356.06
"Mexico City International Airport",45.92
"Miami International Airport",26.63
"Moscow Domodedovo Airport",NULL
"Munich Airport",112.67
"Nanjing Lukou International Airport",15.89
"Narita International Airport",127.45
"Newark Liberty International Airport",26.22
"Ninoy Aquino International Airport",508.69
"O'Hare International Airport",48.24
"Orlando Executive Airport",19.36
"Orlando International Airport",26.9
"Oslo Airport, Gardermoen",467.47
"Palma De Mallorca Airport",22.17
"Philadelphia International Airport",17.88
"Phoenix Sky Harbor International Airport",26.54
"Ronald Reagan Washington National Airport",14.46
"Sabiha Gökçen International Airport",NULL
"Salt Lake City International Airport",14.62
"San Francisco International Airport",33.73
"São Paulo–Guarulhos International Airport",594.59
"Seattle–Tacoma International Airport",28.36
"Shanghai Hongqiao International Airport",25.77
"Shanghai Pudong International Airport",43.07
"Shenzhen Bao'an International Airport",28.03
"Sheremetyevo International Airport",NULL
"Singapore Changi Airport",325.48
"Soekarno-Hatta International Airport",391.23
"St Paul International Airport",22.98
"Stockholm Arlanda Airport",349.82
"Suvarnabhumi Airport",152.47
"Sydney Airport",458.59
"Taiwan Taoyuan International Airport",NULL
"Tan Son Nhat International Airport",199.34
"Toronto Pearson International Airport",145.1
"Vancouver International Airport",74.52
"Vienna International Airport",76.5
"Washington International Thurgood Marshall Airport",15.94
"Wuhan Tianhe International Airport",14.23
"Xi'an Xianyang International Airport",25.75
"Xiamen Gaoqi International Airport",15.06
"Zhengzhou Xinzheng International Airport",14.95
"Zürich Airport",248.74
