"country","busiest_year","no_passengers"
"Australia","2019",9466000
"Austria","2019",31884000
"Belgium","2019",9343000
"Brazil","2018",6621000
"Canada","1999",49055000
"China","2019",162538000
"Colombia","2019",4531000
"Denmark","2019",33093000
"France","2019",217877000
"Germany","2019",39563000
"Hong Kong",NULL,NULL
"India","2019",17914000
"Indonesia","2019",16107000
"Ireland","2019",10951000
"Italy","2019",95399000
"Japan","2019",31881000
"Malaysia","2014",27437000
"Mexico","2000",105673000
"Netherlands","2019",20129000
"Norway","2017",6252000
"Philippines","2019",8261000
"Portugal","2019",17283000
"Qatar","2015",2941000
"Russia",NULL,NULL
"Saudi Arabia","2014",23010000
"Singapore","2019",19116000
"South Korea",NULL,NULL
"Spain","2019",126170000
"Sweden","2012",12372000
"Switzerland","2019",11818000
"Taiwan",NULL,NULL
"Thailand","2019",39916000
"Turkey",NULL,NULL
"United Arab Emirates","2019",25282000
"United Kingdom","2017",41080000
"United States","2006",183178000
"Vietnam","2019",18009000
