"country","total_passengers","passenger_rank","total_gdp","gdp_rank"
"United States",1177426600,1,636567500000000,1
"China",674504074,2,287411200000000,2
"Japan",168575215,4,16924560000000,3
"United Kingdom",177382573,3,12282680000000,4
"Germany",133718191,6,12216570000000,5
"India",135703034,5,10155270000000,6
"Australia",100320911,11,5026260000000,7
"Canada",71220818,14,4279680000000,8
"Spain",128619556,7,4192530000000,9
"Mexico",68333927,18,2828380000000,10
"France",69471442,16,2782910000000,11
"Saudi Arabia",58955282,21,2216300000000,12
"Italy",40968756,25,2010430000000,13
"Brazil",37774000,26,1920100000000,14
"Indonesia",63015620,19,1319100000000,15
"United Arab Emirates",112002660,10,1015070000000,16
"Netherlands",68515425,17,991115000000,17
"Thailand",99160314,12,990682000000,18
"Switzerland",29396094,31,807706000000,19
"Sweden",26642034,35,585939000000,20
"Norway",27482315,33,579267000000,21
"Belgium",24783911,36,578604000000,22
"Ireland",29582321,30,529245000000,23
"Austria",24392805,37,471400000000,24
"Singapore",62219573,20,466789000000,25
"Vietnam",35900000,27,408802000000,26
"Malaysia",58558440,22,406306000000,27
"Philippines",42022484,24,404284000000,28
"Denmark",29177833,32,395404000000,29
"Colombia",30989932,29,343939000000,30
"Portugal",26669755,34,251945000000,31
"Qatar",35867252,28,237296000000,32
"Hong Kong",72665078,13,NULL,33
"Turkey",121177285,8,NULL,33
"South Korea",117271954,9,NULL,33
"Taiwan",44878703,23,NULL,33
"Russia",70792806,15,NULL,33
