"country","no_airports"
"United States",25
"China",16
"Japan",4
"United Kingdom",4
"Turkey",3
"Australia",3
"Germany",3
"South Korea",3
"Spain",3
"India",3
"Thailand",2
"Russia",2
"United Arab Emirates",2
"Mexico",2
"Canada",2
"Saudi Arabia",2
"Singapore",1
"Portugal",1
"Philippines",1
"Colombia",1
"Switzerland",1
"Belgium",1
"France",1
"Vietnam",1
"Malaysia",1
"Taiwan",1
"Hong Kong",1
"Sweden",1
"Norway",1
"Qatar",1
"Netherlands",1
"Italy",1
"Brazil",1
"Austria",1
"Indonesia",1
"Ireland",1
"Denmark",1
